name	status	reason
alignment-faults	excluded	software event
bpf-output	excluded	software event
cgroup-switches	excluded	software event
context-switches	excluded	software event
cpu-clock	excluded	software event
cpu-migrations	excluded	software event
dummy	excluded	software event
emulation-faults	excluded	software event
major-faults	excluded	software event
minor-faults	excluded	software event
page-faults	excluded	software event
task-clock	excluded	software event
LLC-loads	deferred	check whether this alias maps to offcore activity
LLC-load-misses	deferred	check whether this alias maps to offcore activity
LLC-stores	deferred	check whether this alias maps to offcore activity
LLC-store-misses	deferred	check whether this alias maps to offcore activity
node-loads	deferred	check whether this alias maps to offcore activity
node-load-misses	deferred	check whether this alias maps to offcore activity
mem-loads	deferred	needs load-latency sampling setup
topdown-bad-spec	deferred	requires an event group led by slots
topdown-be-bound	deferred	requires an event group led by slots
topdown-br-mispredict	deferred	requires an event group led by slots
topdown-fe-bound	deferred	requires an event group led by slots
topdown-fetch-lat	deferred	requires an event group led by slots
topdown-heavy-ops	deferred	requires an event group led by slots
topdown-mem-bound	deferred	requires an event group led by slots
topdown-retiring	deferred	requires an event group led by slots
cstate_core/c1-residency/	excluded	outside the supported core PMU: cstate_core
cstate_core/c6-residency/	excluded	outside the supported core PMU: cstate_core
cstate_pkg/c2-residency/	excluded	outside the supported core PMU: cstate_pkg
cstate_pkg/c6-residency/	excluded	outside the supported core PMU: cstate_pkg
intel_bts//	excluded	outside the supported core PMU: intel_bts
intel_pt//	excluded	outside the supported core PMU: intel_pt
msr/aperf/	excluded	outside the supported core PMU: msr
msr/cpu_thermal_margin/	excluded	outside the supported core PMU: msr
msr/mperf/	excluded	outside the supported core PMU: msr
msr/smi/	excluded	outside the supported core PMU: msr
msr/tsc/	excluded	outside the supported core PMU: msr
power/energy-pkg/	excluded	outside the supported core PMU: power
power/energy-psys/	excluded	outside the supported core PMU: power
power/energy-ram/	excluded	outside the supported core PMU: power
uncore_iio_free_running_0/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_0/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_0/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_0/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_0/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_0/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_0/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_0/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_0/ioclk/	excluded	uncore event
uncore_iio_free_running_1/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_1/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_1/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_1/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_1/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_1/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_1/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_1/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_1/ioclk/	excluded	uncore event
uncore_iio_free_running_2/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_2/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_2/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_2/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_2/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_2/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_2/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_2/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_2/ioclk/	excluded	uncore event
uncore_iio_free_running_3/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_3/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_3/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_3/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_3/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_3/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_3/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_3/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_3/ioclk/	excluded	uncore event
uncore_iio_free_running_4/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_4/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_4/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_4/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_4/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_4/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_4/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_4/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_4/ioclk/	excluded	uncore event
uncore_iio_free_running_5/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_5/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_5/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_5/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_5/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_5/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_5/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_5/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_5/ioclk/	excluded	uncore event
uncore_iio_free_running_6/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_6/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_6/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_6/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_6/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_6/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_6/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_6/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_6/ioclk/	excluded	uncore event
uncore_iio_free_running_7/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_7/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_7/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_7/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_7/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_7/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_7/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_7/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_7/ioclk/	excluded	uncore event
uncore_iio_free_running_8/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_8/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_8/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_8/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_8/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_8/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_8/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_8/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_8/ioclk/	excluded	uncore event
uncore_iio_free_running_9/bw_in_port0/	excluded	uncore event
uncore_iio_free_running_9/bw_in_port1/	excluded	uncore event
uncore_iio_free_running_9/bw_in_port2/	excluded	uncore event
uncore_iio_free_running_9/bw_in_port3/	excluded	uncore event
uncore_iio_free_running_9/bw_in_port4/	excluded	uncore event
uncore_iio_free_running_9/bw_in_port5/	excluded	uncore event
uncore_iio_free_running_9/bw_in_port6/	excluded	uncore event
uncore_iio_free_running_9/bw_in_port7/	excluded	uncore event
uncore_iio_free_running_9/ioclk/	excluded	uncore event
uncore_imc_0/cas_count_read/	excluded	uncore event
uncore_imc_0/cas_count_write/	excluded	uncore event
uncore_imc_0/clockticks/	excluded	uncore event
uncore_imc_1/cas_count_read/	excluded	uncore event
uncore_imc_1/cas_count_write/	excluded	uncore event
uncore_imc_1/clockticks/	excluded	uncore event
uncore_imc_2/cas_count_read/	excluded	uncore event
uncore_imc_2/cas_count_write/	excluded	uncore event
