event	round	count	exit
mem_load_l3_miss_retired.remote_pmm:u	1	0	0
mem_load_l3_miss_retired.remote_pmm:u	2	0	0
mem_load_l3_miss_retired.remote_pmm:u	3	0	0
mem_load_l3_miss_retired.remote_pmm:u	4	0	0
mem_load_l3_miss_retired.remote_pmm:u	5	0	0
mem_load_l3_miss_retired.remote_pmm:u	6	0	0
mem_load_l3_miss_retired.remote_pmm:u	7	0	0
mem_load_l3_miss_retired.remote_pmm:u	8	0	0
mem_load_l3_miss_retired.remote_pmm:u	9	0	0
mem_load_l3_miss_retired.remote_pmm:u	10	0	0
mem_load_l3_miss_retired.remote_pmm:u	11	0	0
mem_load_l3_miss_retired.remote_pmm:u	12	0	0
mem_load_l3_miss_retired.remote_pmm:u	13	0	0
mem_load_l3_miss_retired.remote_pmm:u	14	0	0
mem_load_l3_miss_retired.remote_pmm:u	15	0	0
mem_load_l3_miss_retired.remote_pmm:u	16	0	0
mem_load_l3_miss_retired.remote_pmm:u	17	0	0
mem_load_l3_miss_retired.remote_pmm:u	18	0	0
mem_load_l3_miss_retired.remote_pmm:u	19	0	0
mem_load_l3_miss_retired.remote_pmm:u	20	0	0
mem_load_l3_miss_retired.remote_pmm:u	21	0	0
mem_load_l3_miss_retired.remote_pmm:u	22	0	0
mem_load_l3_miss_retired.remote_pmm:u	23	0	0
mem_load_l3_miss_retired.remote_pmm:u	24	0	0
mem_load_l3_miss_retired.remote_pmm:u	25	0	0
mem_load_l3_miss_retired.remote_pmm:u	26	0	0
mem_load_l3_miss_retired.remote_pmm:u	27	0	0
mem_load_l3_miss_retired.remote_pmm:u	28	0	0
mem_load_l3_miss_retired.remote_pmm:u	29	0	0
mem_load_l3_miss_retired.remote_pmm:u	30	0	0
mem_load_l3_miss_retired.remote_pmm:u	31	0	0
mem_load_l3_miss_retired.remote_pmm:u	32	0	0
mem_load_l3_miss_retired.remote_pmm:u	33	0	0
mem_load_l3_miss_retired.remote_pmm:u	34	0	0
mem_load_l3_miss_retired.remote_pmm:u	35	0	0
mem_load_l3_miss_retired.remote_pmm:u	36	0	0
mem_load_l3_miss_retired.remote_pmm:u	37	0	0
mem_load_l3_miss_retired.remote_pmm:u	38	0	0
mem_load_l3_miss_retired.remote_pmm:u	39	0	0
mem_load_l3_miss_retired.remote_pmm:u	40	0	0
mem_load_l3_miss_retired.remote_pmm:u	41	0	0
mem_load_l3_miss_retired.remote_pmm:u	42	0	0
mem_load_l3_miss_retired.remote_pmm:u	43	0	0
mem_load_l3_miss_retired.remote_pmm:u	44	0	0
mem_load_l3_miss_retired.remote_pmm:u	45	0	0
mem_load_l3_miss_retired.remote_pmm:u	46	0	0
mem_load_l3_miss_retired.remote_pmm:u	47	0	0
mem_load_l3_miss_retired.remote_pmm:u	48	0	0
mem_load_l3_miss_retired.remote_pmm:u	49	0	0
mem_load_l3_miss_retired.remote_pmm:u	50	0	0
mem_load_l3_miss_retired.remote_pmm:u	51	0	0
mem_load_l3_miss_retired.remote_pmm:u	52	0	0
mem_load_l3_miss_retired.remote_pmm:u	53	0	0
mem_load_l3_miss_retired.remote_pmm:u	54	0	0
mem_load_l3_miss_retired.remote_pmm:u	55	0	0
mem_load_l3_miss_retired.remote_pmm:u	56	0	0
mem_load_l3_miss_retired.remote_pmm:u	57	0	0
mem_load_l3_miss_retired.remote_pmm:u	58	0	0
mem_load_l3_miss_retired.remote_pmm:u	59	0	0
mem_load_l3_miss_retired.remote_pmm:u	60	0	0
mem_load_l3_miss_retired.remote_pmm:u	61	0	0
mem_load_l3_miss_retired.remote_pmm:u	62	0	0
mem_load_l3_miss_retired.remote_pmm:u	63	0	0
mem_load_l3_miss_retired.remote_pmm:u	64	0	0
mem_load_l3_miss_retired.remote_pmm:u	65	0	0
mem_load_l3_miss_retired.remote_pmm:u	66	0	0
mem_load_l3_miss_retired.remote_pmm:u	67	0	0
mem_load_l3_miss_retired.remote_pmm:u	68	0	0
mem_load_l3_miss_retired.remote_pmm:u	69	0	0
mem_load_l3_miss_retired.remote_pmm:u	70	0	0
mem_load_l3_miss_retired.remote_pmm:u	71	0	0
mem_load_l3_miss_retired.remote_pmm:u	72	0	0
mem_load_l3_miss_retired.remote_pmm:u	73	0	0
mem_load_l3_miss_retired.remote_pmm:u	74	0	0
mem_load_l3_miss_retired.remote_pmm:u	75	0	0
mem_load_l3_miss_retired.remote_pmm:u	76	0	0
mem_load_l3_miss_retired.remote_pmm:u	77	0	0
mem_load_l3_miss_retired.remote_pmm:u	78	0	0
mem_load_l3_miss_retired.remote_pmm:u	79	0	0
mem_load_l3_miss_retired.remote_pmm:u	80	0	0
mem_load_l3_miss_retired.remote_pmm:u	81	0	0
mem_load_l3_miss_retired.remote_pmm:u	82	0	0
mem_load_l3_miss_retired.remote_pmm:u	83	0	0
mem_load_l3_miss_retired.remote_pmm:u	84	0	0
mem_load_l3_miss_retired.remote_pmm:u	85	0	0
mem_load_l3_miss_retired.remote_pmm:u	86	0	0
mem_load_l3_miss_retired.remote_pmm:u	87	0	0
mem_load_l3_miss_retired.remote_pmm:u	88	0	0
mem_load_l3_miss_retired.remote_pmm:u	89	0	0
mem_load_l3_miss_retired.remote_pmm:u	90	0	0
mem_load_l3_miss_retired.remote_pmm:u	91	0	0
mem_load_l3_miss_retired.remote_pmm:u	92	0	0
mem_load_l3_miss_retired.remote_pmm:u	93	0	0
mem_load_l3_miss_retired.remote_pmm:u	94	0	0
mem_load_l3_miss_retired.remote_pmm:u	95	0	0
mem_load_l3_miss_retired.remote_pmm:u	96	0	0
mem_load_l3_miss_retired.remote_pmm:u	97	0	0
mem_load_l3_miss_retired.remote_pmm:u	98	0	0
mem_load_l3_miss_retired.remote_pmm:u	99	0	0
mem_load_l3_miss_retired.remote_pmm:u	100	0	0
llc-loads:u	1	436927	0
llc-loads:u	2	437017	0
cycle_activity.stalls_total:u	1	413205728	0
cycle_activity.stalls_total:u	2	405231946	0
dtlb_load_misses.walk_completed_1g:u	1	0	0
dtlb_load_misses.walk_completed_1g:u	2	0	0
dtlb_load_misses.walk_completed_1g:u	3	0	0
dtlb_load_misses.walk_completed_1g:u	4	0	0
dtlb_load_misses.walk_completed_1g:u	5	0	0
dtlb_load_misses.walk_completed_1g:u	6	0	0
dtlb_load_misses.walk_completed_1g:u	7	0	0
dtlb_load_misses.walk_completed_1g:u	8	0	0
dtlb_load_misses.walk_completed_1g:u	9	0	0
dtlb_load_misses.walk_completed_1g:u	10	0	0
dtlb_load_misses.walk_completed_1g:u	11	0	0
dtlb_load_misses.walk_completed_1g:u	12	0	0
dtlb_load_misses.walk_completed_1g:u	13	0	0
dtlb_load_misses.walk_completed_1g:u	14	0	0
dtlb_load_misses.walk_completed_1g:u	15	0	0
dtlb_load_misses.walk_completed_1g:u	16	0	0
dtlb_load_misses.walk_completed_1g:u	17	0	0
dtlb_load_misses.walk_completed_1g:u	18	0	0
dtlb_load_misses.walk_completed_1g:u	19	0	0
dtlb_load_misses.walk_completed_1g:u	20	0	0
dtlb_load_misses.walk_completed_1g:u	21	0	0
dtlb_load_misses.walk_completed_1g:u	22	0	0
dtlb_load_misses.walk_completed_1g:u	23	0	0
dtlb_load_misses.walk_completed_1g:u	24	0	0
dtlb_load_misses.walk_completed_1g:u	25	0	0
dtlb_load_misses.walk_completed_1g:u	26	0	0
dtlb_load_misses.walk_completed_1g:u	27	0	0
dtlb_load_misses.walk_completed_1g:u	28	0	0
dtlb_load_misses.walk_completed_1g:u	29	0	0
dtlb_load_misses.walk_completed_1g:u	30	0	0
dtlb_load_misses.walk_completed_1g:u	31	0	0
dtlb_load_misses.walk_completed_1g:u	32	0	0
dtlb_load_misses.walk_completed_1g:u	33	0	0
