event	round	count	exit
mem_load_l3_hit_retired.xsnp_no_fwd:u	1	0	0
mem_load_l3_hit_retired.xsnp_no_fwd:u	2	0	0
mem_load_l3_hit_retired.xsnp_no_fwd:u	3	0	0
mem_load_l3_hit_retired.xsnp_no_fwd:u	4	0	0
mem_load_l3_hit_retired.xsnp_no_fwd:u	5	0	0
idq_uops_not_delivered.cycles_fe_was_ok:u	1	970661872	0
idq_uops_not_delivered.cycles_fe_was_ok:u	2	988342266	0
inst_retired.any_p:u	1	227001322	0
inst_retired.any_p:u	2	227001233	0
dtlb_store_misses.walk_active:u	1	783938	0
dtlb_store_misses.walk_active:u	2	782069	0
