event	round	period	count	skid	ip	error
br_inst_retired.near_taken:u	1	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	2	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	3	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	4	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	5	1000000	1000011	11	0x400b60	
br_inst_retired.near_taken:u	6	1000000	1000011	11	0x400b60	
br_inst_retired.near_taken:u	7	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	8	1000000	1000011	11	0x400b60	
br_inst_retired.near_taken:u	9	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	10	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	11	1000000	1000011	11	0x400b60	
br_inst_retired.near_taken:u	12	1000000	1000011	11	0x400b60	
br_inst_retired.near_taken:u	13	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	14	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	15	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	16	1000000	1000008	8	0x400b58	
br_inst_retired.near_taken:u	17	1000000	1000008	8	0x400b58	
br_inst_retired.near_taken:u	18	1000000	1000009	9	0x400b56	
br_inst_retired.near_taken:u	19	1000000	1000011	11	0x400b60	
br_inst_retired.near_taken:u	20	1000000	1000011	11	0x400b60	
