event	round	count	exit
el-start:u	1	0	0
el-start:u	2	0	0
el-start:u	3	0	0
el-start:u	4	0	0
el-start:u	5	0	0
l2_lines_in.all:u	1	615148	0
l2_lines_in.all:u	2	614209	0
l2_rqsts.rfo_miss:u	1	100716	0
l2_rqsts.rfo_miss:u	2	99999	0
mem_load_l3_miss_retired.remote_hitm:u	1	0	0
mem_load_l3_miss_retired.remote_hitm:u	2	0	0
mem_load_l3_miss_retired.remote_hitm:u	3	0	0
mem_load_l3_miss_retired.remote_hitm:u	4	0	0
mem_load_l3_miss_retired.remote_hitm:u	5	0	0
fp_arith_inst_retired.512b_packed_double:u	1	0	0
fp_arith_inst_retired.512b_packed_double:u	2	0	0
fp_arith_inst_retired.512b_packed_double:u	3	0	0
fp_arith_inst_retired.512b_packed_double:u	4	0	0
fp_arith_inst_retired.512b_packed_double:u	5	0	0
idq.all_mite_cycles_4_uops:u	1	1833594182	0
idq.all_mite_cycles_4_uops:u	2	1833854243	0
cycle_activity.cycles_l3_miss:u	1	71193459	0
cycle_activity.cycles_l3_miss:u	2	76967466	0
tx_exec.misc1:u	1	0	0
tx_exec.misc1:u	2	0	0
tx_exec.misc1:u	3	0	0
tx_exec.misc1:u	4	0	0
tx_exec.misc1:u	5	0	0
core_snoop_response.rsp_ihiti:u	1	211176	0
core_snoop_response.rsp_ihiti:u	2	188158	0
br_misp_retired.all_branches:u	1	111	0
br_misp_retired.all_branches:u	2	97	0
cycle_activity.stalls_l1d_miss:u	1	175448869	0
cycle_activity.stalls_l1d_miss:u	2	173402480	0
ld_blocks.no_sr:u	1	0	0
ld_blocks.no_sr:u	2	0	0
ld_blocks.no_sr:u	3	0	0
ld_blocks.no_sr:u	4	0	0
ld_blocks.no_sr:u	5	0	0
uops_dispatched_port.port_2:u	1	1274951597	0
uops_dispatched_port.port_2:u	2	1275274584	0
uops_issued.any:u	1	13195606412	0
uops_issued.any:u	2	13193791450	0
dtlb_store_misses.walk_completed:u	1	30027	0
dtlb_store_misses.walk_completed:u	2	30032	0
dTLB-stores:u	1	24160000	0
dTLB-stores:u	2	24160000	0
dTLB-stores:u	3	24160000	0
dTLB-stores:u	4	24160000	0
dTLB-stores:u	5	24160000	0
