event	round	count	exit
cycles-t:u	1	0	0
cycles-t:u	2	0	0
cycles-t:u	3	0	0
cycles-t:u	4	0	0
cycles-t:u	5	0	0
l1d.replacement:u	1	2471914	0
l1d.replacement:u	2	2438527	0
l2_rqsts.miss:u	1	603074	0
l2_rqsts.miss:u	2	602699	0
mem_load_l3_hit_retired.xsnp_miss:u	1	0	0
mem_load_l3_hit_retired.xsnp_miss:u	2	0	0
mem_load_l3_hit_retired.xsnp_miss:u	3	0	0
mem_load_l3_hit_retired.xsnp_miss:u	4	0	0
mem_load_l3_hit_retired.xsnp_miss:u	5	0	0
fp_arith_inst_retired.128b_packed_double:u	1	3100000	0
fp_arith_inst_retired.128b_packed_double:u	2	3100000	0
fp_arith_inst_retired.128b_packed_double:u	3	3100000	0
fp_arith_inst_retired.128b_packed_double:u	4	3100000	0
fp_arith_inst_retired.128b_packed_double:u	5	3100000	0
icache_64b.iftag_miss:u	1	14498	0
icache_64b.iftag_miss:u	2	14504	0
idq_uops_not_delivered.cycles_0_uops_deliv.core:u	1	1334171236	0
idq_uops_not_delivered.cycles_0_uops_deliv.core:u	2	1334557151	0
rtm_retired.aborted_memtype:u	1	0	0
rtm_retired.aborted_memtype:u	2	0	0
rtm_retired.aborted_memtype:u	3	0	0
rtm_retired.aborted_memtype:u	4	0	0
rtm_retired.aborted_memtype:u	5	0	0
core_power.lvl2_turbo_license:u	1	0	0
core_power.lvl2_turbo_license:u	2	0	0
core_power.lvl2_turbo_license:u	3	0	0
core_power.lvl2_turbo_license:u	4	0	0
core_power.lvl2_turbo_license:u	5	0	0
br_inst_retired.near_return:u	1	200000	0
br_inst_retired.near_return:u	2	200000	0
br_inst_retired.near_return:u	3	200000	0
br_inst_retired.near_return:u	4	200000	0
br_inst_retired.near_return:u	5	200000	0
cpu_clk_unhalted.thread_p:u	1	7626178332	0
cpu_clk_unhalted.thread_p:u	2	7638355270	0
inst_retired.nop:u	1	1580000	0
inst_retired.nop:u	2	1580000	0
inst_retired.nop:u	3	1580000	0
inst_retired.nop:u	4	1580000	0
inst_retired.nop:u	5	1580000	0
rob_misc_events.pause_inst:u	1	0	0
rob_misc_events.pause_inst:u	2	0	0
rob_misc_events.pause_inst:u	3	0	0
rob_misc_events.pause_inst:u	4	0	0
rob_misc_events.pause_inst:u	5	0	0
uops_executed.cycles_ge_3_uops_exec:u	1	1788969325	0
uops_executed.cycles_ge_3_uops_exec:u	2	1767061314	0
dtlb_load_misses.walk_completed_4k:u	1	400031	0
dtlb_load_misses.walk_completed_4k:u	2	400032	0
L1-dcache-load-misses:u	1	INVALID	0
